Customer_No,Age_Group,Tenure,DEP_IND,CC_IND,MTG_IND,LOC_IND,DEP_PROF,CC_PROF,MTG_PROF,LOC_PROF,AREA,MOBILE_ACTIVE,PAYROLL_DEPOSIT,CSAT,CX_QUALITY,CUST_ENGAGEMENT,CUST_AFFLUENCE,SEGMENT,CLV_DEPOSITS,CLV_CREDITCARD,CLV_MORTGAGE,CLV_LOC,ACQ_SCORE,EMAILABLE,MAILABLE,MILLENNIAL
35,31-50,30 years or higher,1,1,1,1,-193,107,-1449,660.25,TORONTO,1,1,100,821-860,3,4,Platinum,"3,363.93",401.805,8485.03,-112.34,0.18,1,1,0
36,51 or higher,21-30 years,1,0,0,0,408,0,0,0,TORONTO,1,0,100,861 or higher,2,4,Gold,0.81,0,0,0,0.13,1,1,0
37,30 or under,10 years or under,1,0,1,1,171,0,-795,2215.4,TORONTO,1,0,33,701-740,3,3,Gold,"4,047.16",4907.35,15381.225,911.845,0.21,1,0,1
38,31-50,21-30 years,1,1,0,1,-113,-188,0,9197.9,TORONTO,1,1,,781-820,3,4,Platinum,"3,485.60",20.63,0,5045.225,0.2,1,0,0
39,51 or higher,21-30 years,1,1,1,1,230,-53,8544,-651.7,RICHMOND HILL,0,1,,821-860,3,4,Platinum,"2,184.98",21.165,49925.08,2688.75,0.18,0,0,0
40,31-50,21-30 years,1,0,0,1,112,0,0,1018.4,TORONTO,1,0,-100,741-780,3,4,Bronze,"3,293.73",0,0,780.605,0.2,1,0,0
41,30 or under,10 years or under,1,1,1,1,1090,3837,-905,1117.2,ETOBICOKE,1,0,-100,821-860,3,4,Platinum,"3,202.62",11079.195,17368.135,-112.34,0.17,1,0,1
42,31-50,21-30 years,1,1,1,1,-83,-338,3102,-60.8,TORONTO,1,1,,861 or higher,3,3,Platinum,"3,099.87",701.78,15409.64,-112.34,0.16,1,0,0
43,31-50,21-30 years,1,1,1,1,758,39270,-777,1996.9,BEACHES,1,1,,701-740,3,3,Bronze,"3,243.02",10361.885,11063.32,-112.34,0.18,1,1,1
44,51 or higher,21-30 years,1,1,0,1,-56,162,0,2788.25,TORONTO,1,0,29,701-740,2,4,Silver,"1,350.45",582.165,0,-224.68,0.17,1,0,0
45,51 or higher,21-30 years,1,1,1,1,-255,769,-667,2248.65,TORONTO,1,1,,701-740,3,3,Silver,882.5,506.485,10609.55,174.57,0.23,1,1,0
46,31-50,21-30 years,1,1,1,1,53,2193,2788,746.7,SCARBOROUGH,1,1,,741-780,3,4,Platinum,"2,875.71",958.24,18377.565,-226.195,0.19,1,1,1
47,31-50,21-30 years,1,1,0,1,-112,713,0,2289.5,TORONTO,1,1,100,861 or higher,3,4,Platinum,"3,363.93",8197.09,0,3030.62,0.17,1,0,1
48,31-50,21-30 years,1,1,0,1,-179,2799,0,823.65,TORONTO,1,1,100,701-740,3,3,Silver,"2,602.78",8197.09,0,-112.34,0.18,1,0,1
49,51 or higher,11-20 years,1,1,1,1,-48,88,2569,-368.6,TORONTO,1,1,0,821-860,3,4,Platinum,"3,369.89",72.87,11773.32,3256.14,0.17,1,1,0
50,30 or under,10 years or under,1,1,1,0,110,470,-1436,0,TORONTO,1,1,100,741-780,3,4,Gold,"2,890.13",868.715,25744.63,0,0.17,1,1,1
51,31-50,21-30 years,1,1,0,1,1043,382,0,374.3,TORONTO,1,1,,861 or higher,3,4,Platinum,"4,286.03",5041.295,0,-112.34,0.17,1,1,1
52,31-50,21-30 years,1,1,1,1,56,162,-148,2242,TORONTO,1,1,,821-860,3,3,Platinum,"1,985.94",1349.755,3942.1,4089.35,0.16,1,1,0
53,51 or higher,11-20 years,0,0,1,1,0,0,-639,3465.6,TORONTO,0,0,,821-860,2,4,Platinum,0,0,138651.665,2795.2,0.14,0,1,0
54,51 or higher,21-30 years,1,1,0,0,15713,-238,0,0,BEACHES,0,0,,821-860,2,2,Platinum,"2,388.69",0.21,0,0,0.16,0,0,0
55,31-50,21-30 years,1,1,1,1,1452,44,462,-209.95,SCARBOROUGH,1,0,,821-860,3,4,Platinum,318.52,431.575,6127.265,-224.68,0.17,1,0,1
56,51 or higher,21-30 years,1,1,0,1,476,1887,0,446.5,TORONTO,1,0,100,661-700,3,3,Gold,"2,152.02",1339.065,0,-112.34,0.17,1,0,0
57,31-50,21-30 years,1,1,0,1,1,-2,0,3094.15,OAKVILLE,1,0,,861 or higher,3,4,Platinum,75.64,59.185,0,3109.73,0.19,1,1,1
58,51 or higher,21-30 years,1,1,1,1,-222,1006,1273,438.9,NORTH YORK,1,0,,701-740,3,2,Gold,330.88,429.23,5844.71,-224.68,0.19,1,0,0
59,30 or under,10 years or under,1,1,1,1,34,746,397,1216,SCARBOROUGH,1,1,,821-860,3,4,Platinum,"3,116.44",1107.09,16342.365,410.16,0.19,1,0,1
60,51 or higher,21-30 years,1,1,1,1,-359,-280,-831,2935.5,NORTH YORK,1,1,75,821-860,3,3,Platinum,"4,564.46",1826.52,7876.785,1537.22,0.19,1,0,0
61,31-50,21-30 years,1,0,1,1,-115,0,-1054,847.4,RICHMOND HILL,1,1,100,741-780,3,4,Platinum,"3,988.29",0,12137.01,-112.34,0.17,1,1,0
62,51 or higher,21-30 years,1,1,1,1,109,250,598,932.9,NORTH YORK,1,1,,741-780,3,4,Platinum,"2,178.09",526.58,9381.085,2637.785,0.17,1,1,0
63,51 or higher,21-30 years,1,1,1,1,-844,549,-1293,1248.3,NORTH YORK,1,1,100,661-700,3,4,Silver,"2,222.20",34.99,4506.63,488.68,0.21,1,0,0
64,51 or higher,21-30 years,1,1,1,1,-118,274,1392,2514.65,SCARBOROUGH,1,0,,781-820,3,4,Platinum,"1,715.47",138.6,7807.09,-112.34,0.18,1,1,0
65,31-50,21-30 years,1,1,0,1,-345,1313,0,1097.25,NORTH YORK,1,1,,701-740,3,4,Silver,"2,629.21",3434.59,0,-224.68,0.2,1,0,1
66,31-50,21-30 years,1,1,1,1,39,-223,4758,23.75,TORONTO,1,1,,861 or higher,3,4,Platinum,"3,163.37",697.27,36422.54,-112.34,0.17,1,0,1
67,51 or higher,11-20 years,1,1,0,1,-201,1558,0,1111.5,SCARBOROUGH,1,0,-50,781-820,3,3,Platinum,"2,290.70",8197.09,0,-337.02,0.18,1,0,0
68,31-50,21-30 years,1,1,0,1,39,211,0,-3.8,ETOBICOKE,1,1,-50,861 or higher,3,3,Platinum,"2,603.83",2147.06,0,-112.34,0.17,1,1,0
69,30 or under,11-20 years,1,1,1,1,20,-436,3327,-505.4,TORONTO,1,1,-100,861 or higher,3,4,Platinum,"3,275.98",45.705,22944.47,-41.41,0.17,1,0,1
70,51 or higher,21-30 years,1,1,1,1,60,701,3049,42.75,TORONTO,1,1,,781-820,3,4,Platinum,"3,171.12",6442.61,88963.65,906.905,0.16,1,1,0
71,31-50,21-30 years,1,1,1,1,139,2744,-915,8789.4,RICHMOND HILL,1,1,,661-700,3,4,Gold,"1,656.86",8197.09,12401.09,-112.34,0.18,1,1,0
72,51 or higher,21-30 years,1,1,0,1,835,-312,0,-104.5,ETOBICOKE,1,1,100,861 or higher,3,4,Gold,"3,363.93",5.17,0,-112.34,0.16,1,0,0
73,31-50,21-30 years,1,1,0,0,201,388,0,0,TORONTO,1,1,-25,741-780,3,2,Platinum,"4,797.84",2063.56,16404.53,154.315,0.2,1,0,0
74,31-50,21-30 years,1,1,1,1,60,7355,2865,778.05,NORTH YORK,1,0,-100,661-700,2,3,Bronze,"1,991.19",12298.695,19515.445,-112.34,0.19,1,1,1
75,31-50,21-30 years,1,1,1,1,175,358,-2548,2542.2,TORONTO,1,1,,821-860,3,4,Platinum,"2,798.58",1653.025,109336.16,999.3,0.18,1,0,1
76,30 or under,10 years or under,1,1,1,1,184,-25,532,237.5,TORONTO,0,0,,821-860,2,4,Platinum,635.12,473.105,46116.885,1775.285,0.18,0,1,1
77,31-50,21-30 years,1,1,1,1,638,479,3238,3661.3,BEACHES,1,1,,861 or higher,3,4,Platinum,"2,856.23",4032.7,27681.75,1610.93,0.18,1,0,0
78,31-50,21-30 years,1,1,1,1,181,333,5250,1816.4,SCARBOROUGH,1,1,,781-820,3,3,Platinum,"4,103.30",4482.505,47307.985,-224.68,0.17,1,1,1
79,30 or under,10 years or under,1,1,1,1,-457,835,3244,2287.6,ETOBICOKE,1,1,,821-860,3,4,Platinum,"2,395.98",5278.52,35308.31,2901.275,0.16,1,1,1
80,51 or higher,21-30 years,1,0,1,1,-64,0,1657,1493.4,TORONTO,1,0,100,561-660,3,4,Gold,"1,384.85",1906.01,50409.015,1794.375,0.21,1,1,0
81,30 or under,10 years or under,1,0,1,1,54,0,1514,2674.25,ETOBICOKE,1,1,100,661-700,3,3,Gold,"2,462.72",0,33322.925,-112.34,0.17,1,0,1
82,51 or higher,21-30 years,1,1,0,1,-434,952,0,2934.55,TORONTO,1,1,0,661-700,3,3,Silver,"4,257.84",2058.2,0,-112.34,0.19,1,0,0
83,31-50,21-30 years,1,1,0,0,-323,2521,0,0,ETOBICOKE,1,0,0,661-700,3,4,Gold,"2,382.63",8197.09,0,0,0.19,1,0,1
84,51 or higher,21-30 years,1,1,1,1,58,808,-699,3481.75,TORONTO,0,1,,701-740,2,4,Silver,"2,495.19",1961.96,10444.755,-112.34,0.18,0,0,0
85,31-50,21-30 years,1,1,1,0,829,1775,3895,0,BEACHES,1,1,100,781-820,3,4,Platinum,"3,049.10",4006.52,25236.645,0,0.18,1,1,0
86,51 or higher,21-30 years,1,1,1,1,281,371,-1825,3425.7,BEACHES,1,1,,781-820,2,4,Platinum,"2,745.95",1815.86,24361.715,2259.85,0.17,1,1,0
87,30 or under,11-20 years,1,1,1,1,466,205,762,1190.35,TORONTO,1,1,,861 or higher,3,4,Platinum,"7,131.09",493.825,9046.56,1319.73,0.16,1,1,1
88,31-50,21-30 years,1,1,1,1,-77,380,-939,2519.4,OAKVILLE,1,1,,861 or higher,3,4,Gold,"2,972.60",8197.09,11693.595,-112.34,0.16,1,0,1
89,51 or higher,11-20 years,1,1,1,1,1224,1034,-458,2599.2,TORONTO,1,0,75,561-660,3,4,Gold,"1,440.56",6505.785,6156.995,-224.68,0.18,1,1,0
90,51 or higher,21-30 years,1,1,1,1,-251,916,151,897.75,ETOBICOKE,1,0,0,741-780,3,3,Platinum,"1,684.45",3077.315,7877.28,-112.34,0.17,1,1,0
91,51 or higher,21-30 years,1,1,1,1,-383,607,626,42.75,TORONTO,1,1,0,781-820,3,3,Platinum,"3,087.51",1467.915,4566.765,-112.34,0.18,1,1,0
92,31-50,21-30 years,1,1,1,1,100,165,-33,-209,SCARBOROUGH,1,1,,861 or higher,3,4,Platinum,"2,723.22",4023.31,10954.29,-224.68,0.17,1,1,0
93,30 or under,10 years or under,1,1,1,1,-211,1113,-1288,-15216.15,TORONTO,1,0,-100,661-700,2,4,Silver,983.89,3624.885,13992.15,1629.835,0.16,1,1,1
94,31-50,21-30 years,1,1,0,1,1612,255,0,-967.1,TORONTO,1,0,,561-660,3,3,Platinum,"6,551.14",3460.945,0,2617.64,0.19,1,1,0
95,31-50,21-30 years,1,0,1,0,-5,0,2042,0,TORONTO,0,1,,561-660,2,4,Platinum,"2,229.17",0,12696.175,0,0.16,0,0,0
96,51 or higher,30 years or higher,1,1,0,1,2210,-120,0,3256.6,TORONTO,1,0,,861 or higher,3,4,Platinum,"2,890.79",842.035,0,11985.4,0.17,1,0,0
97,31-50,21-30 years,1,1,0,0,-79,5609,0,0,SCARBOROUGH,0,0,,781-820,2,4,Platinum,0,8873.185,0,0,0.17,0,0,1
98,30 or under,10 years or under,1,0,1,1,-105,0,4390,989.9,BEACHES,1,1,,561-660,3,4,Gold,"3,078.65",0,37922.125,-112.34,0.17,1,0,1
99,51 or higher,21-30 years,1,0,0,1,383,0,0,2557.4,TORONTO,0,1,33,701-740,2,4,Silver,"2,862.83",0,0,-112.34,0.17,0,1,0
100,51 or higher,21-30 years,1,1,0,1,-276,2146,0,3552.05,TORONTO,1,0,38,741-780,3,4,Gold,"1,023.11",1119.015,0,-224.68,0.19,1,0,0
101,31-50,21-30 years,1,1,0,1,-3,507,0,9500.95,TORONTO,1,1,100,821-860,3,4,Platinum,"1,776.11",8197.09,0,9124.83,0.14,1,1,0
102,31-50,21-30 years,1,1,0,1,-63,41,0,970.9,RICHMOND HILL,1,1,0,821-860,3,4,Platinum,"3,418.16",555.835,0,-112.34,0.17,1,1,1
103,51 or higher,21-30 years,1,0,0,0,-29,0,0,0,TORONTO,0,0,,821-860,2,4,Platinum,0,0,6716.17,0,0.13,0,1,0
104,51 or higher,21-30 years,1,1,0,1,-51,1120,0,5947,TORONTO,1,0,100,701-740,3,3,Gold,0,702.615,0,7023.14,0.17,1,1,0
105,51 or higher,30 years or higher,1,1,0,0,165,-167,0,0,BEACHES,1,0,,861 or higher,2,2,Gold,"1,239.06",253.205,0,0,0.15,1,0,0
106,31-50,21-30 years,1,1,1,1,-268,581,346,390.45,TORONTO,0,1,,781-820,3,4,Platinum,"5,076.14",5864.13,9971.41,1888.21,0.18,0,0,0
107,31-50,21-30 years,1,1,1,1,-43,1815,4434,-528.2,BEACHES,1,0,,821-860,3,4,Platinum,34.62,10717.54,53419.48,7241.155,0.16,1,0,1
108,31-50,21-30 years,1,1,1,1,572,1176,842,198.55,ETOBICOKE,1,1,,781-820,3,4,Platinum,"3,618.76",1260.245,22293.065,-112.34,0.18,1,1,0
109,51 or higher,21-30 years,1,1,0,1,83,399,0,-182.4,TORONTO,1,0,,821-860,3,2,Platinum,"3,338.86",2430.28,0,-112.34,0.18,1,1,0
110,31-50,21-30 years,1,0,1,1,-162,0,-1188,-527.25,TORONTO,0,1,,861 or higher,2,4,Platinum,904.83,1527.22,8769.69,-126.265,0.18,0,0,0
111,31-50,30 years or higher,1,1,0,1,-196,4039,0,634.6,SCARBOROUGH,1,1,,661-700,3,1,Silver,"3,341.46",8197.09,0,-112.34,0.2,1,0,0
112,51 or higher,21-30 years,1,1,0,1,53,-238,0,34622.75,SCARBOROUGH,1,0,100,861 or higher,3,4,Platinum,379.27,64.545,0,8376.9,0.17,1,1,0
113,31-50,21-30 years,1,1,1,1,-164,211,-375,2698.95,ETOBICOKE,1,0,-100,781-820,3,4,Platinum,152.77,2310.845,15403.4,1323.51,0.17,1,1,1
114,51 or higher,30 years or higher,1,1,1,1,906,-102,1791,2042.5,SCARBOROUGH,1,1,0,821-860,3,3,Platinum,"5,956.47",3.585,19425.02,1042.35,0.17,1,1,0
115,51 or higher,30 years or higher,1,1,0,1,-247,-276,0,86.45,SCARBOROUGH,1,1,100,821-860,3,4,Platinum,"1,080.14",1984.68,0,-112.34,0.16,1,0,0
116,51 or higher,30 years or higher,1,1,1,1,-163,1373,1130,2286.65,TORONTO,1,1,,561-660,3,4,Gold,"2,589.57",624.49,23275.415,-337.02,0.2,1,1,0
117,51 or higher,30 years or higher,1,1,0,1,2827,-105,0,-128.25,TORONTO,1,0,33,861 or higher,3,4,Platinum,"2,605.15",137.175,0,-112.34,0.15,1,1,0
118,31-50,30 years or higher,1,1,1,1,-57,-135,1043,2263.85,BEACHES,1,0,,821-860,2,4,Gold,"1,795.40",5423.3,24941.945,-337.02,0.17,1,1,1
119,51 or higher,30 years or higher,1,1,1,1,-284,760,6397,2521.3,BEACHES,1,1,100,861 or higher,3,4,Platinum,"2,604.51",270.285,36928.62,-115.13,0.2,1,0,0
120,51 or higher,30 years or higher,1,1,1,1,35,2239,-589,1800.25,ETOBICOKE,1,0,,821-860,2,3,Platinum,"1,103.97",1719.385,3003.86,4862.885,0.15,1,0,0
121,51 or higher,30 years or higher,1,1,0,1,1123,-121,0,-105.45,ETOBICOKE,1,0,,821-860,3,3,Gold,484.89,46.38,0,-112.34,0.14,1,0,0
122,51 or higher,30 years or higher,1,1,1,1,-29,764,-346,3364.9,RICHMOND HILL,0,0,50,701-740,3,2,Gold,"1,603.05",475.87,2326.565,887.77,0.16,0,0,0
123,51 or higher,21-30 years,1,1,1,1,634,1455,1344,2090.95,ETOBICOKE,1,1,,821-860,3,4,Platinum,"2,354.59",1259.185,19986.995,4091.895,0.2,1,1,0
124,51 or higher,21-30 years,1,1,1,1,-143,-28,368,2252.45,SCARBOROUGH,1,1,100,861 or higher,3,4,Platinum,"3,464.22",192.81,4278.465,914.48,0.18,1,1,0
125,51 or higher,30 years or higher,1,1,0,1,-300,-469,0,-688.75,TORONTO,1,1,,741-780,3,2,Gold,"3,413.19",58.635,0,46.77,0.18,1,0,0
126,31-50,30 years or higher,1,0,0,1,97,0,0,-209,TORONTO,1,1,,821-860,3,4,Gold,"2,234.00",12.02,0,-224.68,0.18,1,1,0
127,51 or higher,30 years or higher,1,0,0,1,-81,0,0,-861.65,BEACHES,1,1,0,821-860,3,4,Platinum,"2,424.76",0,0,-129.39,0.17,1,0,0
128,51 or higher,30 years or higher,1,1,0,0,21,5639,0,0,TORONTO,0,0,,661-700,2,3,Gold,0,9440.965,0,0,0.16,0,1,0
129,31-50,21-30 years,1,1,1,1,69,79,2235,4389,TORONTO,0,1,,741-780,2,4,Gold,"4,032.76",1119.785,36148.31,4534.575,0.19,0,1,1
130,51 or higher,21-30 years,1,1,1,1,36,678,1529,-15.2,TORONTO,1,1,0,821-860,3,4,Platinum,"3,325.60",445.47,12031.85,328.725,0.17,1,0,0
131,31-50,30 years or higher,1,1,1,1,-99,1326,1435,4712.95,BEACHES,0,0,,741-780,2,2,Platinum,"1,012.06",1598.915,6745.195,1348.27,0.16,0,1,1
132,51 or higher,30 years or higher,1,0,0,0,559,0,0,0,TORONTO,1,0,,861 or higher,2,3,Gold,550.06,0,0,0,0.13,1,1,0
133,51 or higher,30 years or higher,1,1,0,1,-397,78,0,-212.8,ETOBICOKE,1,1,100,861 or higher,3,4,Platinum,"5,662.12",5581.91,0,-59.97,0.2,1,0,0
134,31-50,30 years or higher,1,1,0,0,112,4330,0,0,RICHMOND HILL,1,0,,661-700,2,4,Bronze,"1,582.69",5122.68,0,0,0.18,1,0,1
135,51 or higher,30 years or higher,1,1,1,1,1051,220,-674,-1112.45,TORONTO,1,1,100,861 or higher,3,4,Platinum,"4,008.29",949.035,2614.855,-345.33,0.18,1,1,0
136,51 or higher,30 years or higher,1,1,0,1,-7,2397,0,1496.25,SCARBOROUGH,0,1,,781-820,3,2,Platinum,"2,261.96",5558.825,0,-112.34,0.18,0,1,0
137,31-50,21-30 years,1,1,1,1,110,148,-1607,212.8,TORONTO,1,1,-67,821-860,3,4,Platinum,"4,729.81",2265.475,36287.63,-112.34,0.17,1,1,1
138,51 or higher,30 years or higher,1,1,1,1,22,483,-1101,9612.1,TORONTO,1,0,,741-780,3,4,Platinum,"3,051.20",4561.76,4824.225,8625.145,0.16,1,1,0
139,51 or higher,30 years or higher,1,0,0,0,164,0,0,0,TORONTO,0,0,,561-660,2,2,Gold,82.08,0,0,0,0.13,0,0,0
140,51 or higher,21-30 years,1,0,1,1,-77,0,6007,1729.95,ETOBICOKE,1,0,-75,561-660,3,4,Bronze,2.63,1024.2,43726.475,-112.34,0.2,1,0,0
141,51 or higher,30 years or higher,1,1,1,1,-328,1171,1179,2385.45,TORONTO,1,0,,701-740,3,4,Gold,"2,609.79",4917.21,37271.775,945.295,0.18,1,1,0
142,51 or higher,21-30 years,1,1,0,0,13609,-303,0,0,BEACHES,0,0,,781-820,2,4,Platinum,"5,715.75",3.1,0,0,0.14,0,1,0
143,31-50,30 years or higher,1,0,0,0,6858,0,0,0,TORONTO,1,0,,661-700,2,4,Bronze,"1,642.22",0,0,0,0.12,1,0,1
144,51 or higher,30 years or higher,1,1,1,1,-86,312,3623,4508.7,TORONTO,1,1,,821-860,3,4,Platinum,"3,524.11",42.625,18922.51,1551.065,0.16,1,1,0
145,31-50,21-30 years,1,1,1,0,74,554,5836,0,ETOBICOKE,1,1,0,741-780,3,3,Gold,"4,235.87",4386.065,73560.91,0,0.18,1,0,1
146,51 or higher,30 years or higher,1,1,1,1,245,88,-160,-117.8,TORONTO,1,1,,821-860,3,4,Platinum,"4,717.18",694.22,7467.8,921.04,0.15,1,0,0
147,51 or higher,30 years or higher,1,1,1,1,342,-178,1227,2233.45,TORONTO,1,0,0,861 or higher,3,4,Platinum,348.69,34.1,29916.2,11613.915,0.16,1,0,0
148,51 or higher,30 years or higher,1,0,0,0,-121,0,0,0,BEACHES,1,0,70,861 or higher,3,4,Gold,326.79,0,0,0,0.17,1,1,0
149,31-50,30 years or higher,1,1,0,1,-299,1373,0,981.35,BEACHES,1,0,50,781-820,3,3,Silver,"2,757.82",4498.68,0,-112.34,0.18,1,0,1
150,51 or higher,30 years or higher,1,1,1,1,-204,0,-1952,-28.5,BEACHES,1,1,,821-860,3,4,Platinum,"3,694.79",340.715,16295.63,-112.34,0.17,1,0,0
151,51 or higher,21-30 years,1,1,1,1,336,8994,-155,22620.45,BEACHES,1,0,,701-740,2,4,Gold,"2,995.21",4625.93,11284.36,10943.865,0.17,1,1,0
152,51 or higher,30 years or higher,1,1,0,1,1317,8522,0,3081.8,BEACHES,1,1,78,741-780,3,4,Gold,"3,088.11",1581.075,0,-112.34,0.16,1,1,0
153,51 or higher,30 years or higher,1,1,1,1,-189,542,-754,2092.85,BEACHES,1,1,20,661-700,3,3,Silver,"2,326.84",1824.66,6281.61,959.11,0.19,1,0,0
